rebuilding saved_objs/Dataset/20.pkl

Now Training 20 with num_epochs=100, alpha=0.0001, AdamNoAMS, weight_decay=0.001
Epoch [0], train_loss: 1.5665, val_loss: 1.1443, val_acc: 0.6181, time: 178.7909
Epoch [1], train_loss: 0.9474, val_loss: 0.8459, val_acc: 0.7129, time: 176.5341
Epoch [2], train_loss: 0.7494, val_loss: 0.6892, val_acc: 0.7645, time: 178.8697
Epoch [3], train_loss: 0.6428, val_loss: 0.6338, val_acc: 0.7806, time: 181.0306
Epoch [4], train_loss: 0.5564, val_loss: 0.5755, val_acc: 0.8073, time: 177.6286
Epoch [5], train_loss: 0.4923, val_loss: 0.5450, val_acc: 0.8182, time: 177.5734
Epoch [6], train_loss: 0.4397, val_loss: 0.4973, val_acc: 0.8323, time: 178.5016
Epoch [7], train_loss: 0.4008, val_loss: 0.4376, val_acc: 0.8519, time: 177.7759
Epoch [8], train_loss: 0.3624, val_loss: 0.4048, val_acc: 0.8604, time: 176.9966
Epoch [9], train_loss: 0.3448, val_loss: 0.3623, val_acc: 0.8785, time: 175.8281
Epoch [10], train_loss: 0.3133, val_loss: 0.3775, val_acc: 0.8744, time: 179.4525
Epoch [11], train_loss: 0.2933, val_loss: 0.3256, val_acc: 0.8927, time: 178.1678
Epoch [12], train_loss: 0.2756, val_loss: 0.3360, val_acc: 0.8892, time: 180.4917
Epoch [13], train_loss: 0.2586, val_loss: 0.3156, val_acc: 0.8910, time: 183.1956
Epoch [14], train_loss: 0.2466, val_loss: 0.3067, val_acc: 0.9006, time: 184.7555
Epoch [15], train_loss: 0.2336, val_loss: 0.3173, val_acc: 0.8956, time: 182.3877
Epoch [16], train_loss: 0.2227, val_loss: 0.2890, val_acc: 0.9038, time: 182.6141
Epoch [17], train_loss: 0.2153, val_loss: 0.3283, val_acc: 0.8948, time: 182.9700
Epoch [18], train_loss: 0.2010, val_loss: 0.2891, val_acc: 0.9044, time: 183.1768
Epoch [19], train_loss: 0.1962, val_loss: 0.2963, val_acc: 0.9019, time: 184.7722
Epoch [20], train_loss: 0.1892, val_loss: 0.2485, val_acc: 0.9168, time: 184.4000
Epoch [21], train_loss: 0.1768, val_loss: 0.2528, val_acc: 0.9149, time: 183.3281
Epoch [22], train_loss: 0.1715, val_loss: 0.2955, val_acc: 0.9030, time: 183.9491
Epoch [23], train_loss: 0.1693, val_loss: 0.2402, val_acc: 0.9190, time: 186.0472
Epoch [24], train_loss: 0.1589, val_loss: 0.2283, val_acc: 0.9247, time: 187.7103
Epoch [25], train_loss: 0.1523, val_loss: 0.2409, val_acc: 0.9196, time: 188.7169
Epoch [26], train_loss: 0.1467, val_loss: 0.2353, val_acc: 0.9192, time: 189.9481
Epoch [27], train_loss: 0.1424, val_loss: 0.2587, val_acc: 0.9139, time: 191.0097
Epoch [28], train_loss: 0.1395, val_loss: 0.2401, val_acc: 0.9216, time: 193.1527
Epoch [29], train_loss: 0.1367, val_loss: 0.2379, val_acc: 0.9226, time: 194.5491
Epoch [30], train_loss: 0.1344, val_loss: 0.2079, val_acc: 0.9315, time: 194.9670
Epoch [31], train_loss: 0.1260, val_loss: 0.1981, val_acc: 0.9336, time: 193.4504
Epoch [32], train_loss: 0.1250, val_loss: 0.1980, val_acc: 0.9366, time: 195.1776
Epoch [33], train_loss: 0.1226, val_loss: 0.2058, val_acc: 0.9337, time: 197.8327
Epoch [34], train_loss: 0.1242, val_loss: 0.2163, val_acc: 0.9279, time: 197.2583
Epoch [35], train_loss: 0.1169, val_loss: 0.1779, val_acc: 0.9421, time: 196.3880
