rebuilding saved_objs/Dataset/10.pkl

Now Training 10 with num_epochs=100, alpha=0.0001, AdamNoAMS, weight_decay=0.001
Epoch [0], train_loss: 1.3807, val_loss: 1.0585, val_acc: 0.6186, time: 78.9184
Epoch [1], train_loss: 0.9223, val_loss: 0.8387, val_acc: 0.6990, time: 77.4627
Epoch [2], train_loss: 0.7760, val_loss: 0.7369, val_acc: 0.7358, time: 76.0857
Epoch [3], train_loss: 0.6658, val_loss: 0.6369, val_acc: 0.7702, time: 77.3764
Epoch [4], train_loss: 0.5996, val_loss: 0.6722, val_acc: 0.7623, time: 80.6768
Epoch [5], train_loss: 0.5408, val_loss: 0.5506, val_acc: 0.8077, time: 81.1686
Epoch [6], train_loss: 0.4956, val_loss: 0.5273, val_acc: 0.8115, time: 76.6179
Epoch [7], train_loss: 0.4586, val_loss: 0.4779, val_acc: 0.8316, time: 76.7732
Epoch [8], train_loss: 0.4198, val_loss: 0.4604, val_acc: 0.8383, time: 76.7196
Epoch [9], train_loss: 0.3952, val_loss: 0.4596, val_acc: 0.8408, time: 75.9496
Epoch [10], train_loss: 0.3682, val_loss: 0.4456, val_acc: 0.8489, time: 77.2831
Epoch [11], train_loss: 0.3449, val_loss: 0.3994, val_acc: 0.8614, time: 77.2486
Epoch [12], train_loss: 0.3196, val_loss: 0.4623, val_acc: 0.8466, time: 76.6107
Epoch [13], train_loss: 0.3069, val_loss: 0.3568, val_acc: 0.8782, time: 77.7458
Epoch [14], train_loss: 0.2879, val_loss: 0.3400, val_acc: 0.8819, time: 76.8345
Epoch [15], train_loss: 0.2741, val_loss: 0.3310, val_acc: 0.8833, time: 76.4578
Epoch [16], train_loss: 0.2503, val_loss: 0.3163, val_acc: 0.8944, time: 75.4576
Epoch [17], train_loss: 0.2356, val_loss: 0.3246, val_acc: 0.8927, time: 78.7058
Epoch [18], train_loss: 0.2284, val_loss: 0.3071, val_acc: 0.8964, time: 76.1143
Epoch [19], train_loss: 0.2254, val_loss: 0.2873, val_acc: 0.9026, time: 77.4836
Epoch [20], train_loss: 0.2252, val_loss: 0.2981, val_acc: 0.9015, time: 76.3448
Epoch [21], train_loss: 0.2028, val_loss: 0.2817, val_acc: 0.9077, time: 77.1492
Epoch [22], train_loss: 0.1868, val_loss: 0.3011, val_acc: 0.9006, time: 77.6869
Epoch [23], train_loss: 0.1913, val_loss: 0.2619, val_acc: 0.9096, time: 76.0311
Epoch [24], train_loss: 0.1737, val_loss: 0.2957, val_acc: 0.9020, time: 76.8354
Epoch [25], train_loss: 0.1723, val_loss: 0.2712, val_acc: 0.9112, time: 76.5281
Epoch [26], train_loss: 0.1594, val_loss: 0.2463, val_acc: 0.9183, time: 76.1483
Epoch [27], train_loss: 0.1551, val_loss: 0.2534, val_acc: 0.9132, time: 77.2125
Epoch [28], train_loss: 0.1595, val_loss: 0.2511, val_acc: 0.9164, time: 76.4258
Epoch [29], train_loss: 0.1516, val_loss: 0.2398, val_acc: 0.9194, time: 82.3642
Epoch [30], train_loss: 0.1438, val_loss: 0.3226, val_acc: 0.8974, time: 76.9211
Epoch [31], train_loss: 0.1520, val_loss: 0.2235, val_acc: 0.9247, time: 76.6371
Epoch [32], train_loss: 0.1281, val_loss: 0.2875, val_acc: 0.9082, time: 77.4974
Epoch [33], train_loss: 0.1367, val_loss: 0.2168, val_acc: 0.9310, time: 77.4553
Epoch [34], train_loss: 0.1273, val_loss: 0.2899, val_acc: 0.9048, time: 76.2831
Epoch [35], train_loss: 0.1182, val_loss: 0.2359, val_acc: 0.9219, time: 77.7284
Epoch [36], train_loss: 0.1292, val_loss: 0.2780, val_acc: 0.9147, time: 77.4233
Epoch [37], train_loss: 0.1335, val_loss: 0.2248, val_acc: 0.9254, time: 76.0492
Epoch [38], train_loss: 0.1156, val_loss: 0.2525, val_acc: 0.9167, time: 76.4603
Epoch [39], train_loss: 0.1175, val_loss: 0.1973, val_acc: 0.9355, time: 76.8279
Epoch [40], train_loss: 0.1238, val_loss: 0.2163, val_acc: 0.9302, time: 76.5551
Epoch [41], train_loss: 0.0958, val_loss: 0.2164, val_acc: 0.9304, time: 76.5568
Epoch [42], train_loss: 0.1061, val_loss: 0.1935, val_acc: 0.9350, time: 80.4793
Epoch [43], train_loss: 0.1065, val_loss: 0.1845, val_acc: 0.9409, time: 77.3354
Epoch [44], train_loss: 0.0913, val_loss: 0.2182, val_acc: 0.9288, time: 77.1991
Epoch [45], train_loss: 0.1112, val_loss: 0.1956, val_acc: 0.9357, time: 78.1734
Epoch [46], train_loss: 0.0970, val_loss: 0.2532, val_acc: 0.9196, time: 78.7522
Epoch [47], train_loss: 0.0964, val_loss: 0.2005, val_acc: 0.9358, time: 77.5830
Epoch [48], train_loss: 0.0911, val_loss: 0.2120, val_acc: 0.9344, time: 77.3416
Epoch [49], train_loss: 0.1050, val_loss: 0.2410, val_acc: 0.9222, time: 79.7710
Epoch [50], train_loss: 0.0970, val_loss: 0.2089, val_acc: 0.9318, time: 78.5857
Epoch [51], train_loss: 0.0758, val_loss: 0.1876, val_acc: 0.9386, time: 77.6839
Epoch [52], train_loss: 0.0802, val_loss: 0.1871, val_acc: 0.9388, time: 78.6320
Epoch [53], train_loss: 0.0730, val_loss: 0.1873, val_acc: 0.9410, time: 78.4512
Epoch [54], train_loss: 0.0851, val_loss: 0.1916, val_acc: 0.9404, time: 82.1530
Epoch [55], train_loss: 0.0786, val_loss: 0.1911, val_acc: 0.9375, time: 79.8505
Epoch [56], train_loss: 0.0951, val_loss: 0.2096, val_acc: 0.9311, time: 78.6360
Epoch [57], train_loss: 0.0883, val_loss: 0.2401, val_acc: 0.9253, time: 78.2290
Epoch [58], train_loss: 0.0886, val_loss: 0.1969, val_acc: 0.9364, time: 78.4660
Epoch [59], train_loss: 0.0927, val_loss: 0.1526, val_acc: 0.9518, time: 81.0099
Epoch [60], train_loss: 0.0690, val_loss: 0.1780, val_acc: 0.9437, time: 77.8460
Epoch [61], train_loss: 0.0782, val_loss: 0.1788, val_acc: 0.9403, time: 78.6648
Epoch [62], train_loss: 0.0621, val_loss: 0.1923, val_acc: 0.9391, time: 78.8951
Epoch [63], train_loss: 0.0681, val_loss: 0.1563, val_acc: 0.9484, time: 79.1682
Epoch [64], train_loss: 0.0608, val_loss: 0.1910, val_acc: 0.9418, time: 79.4275
Epoch [65], train_loss: 0.0676, val_loss: 0.1759, val_acc: 0.9429, time: 80.0341
Epoch [66], train_loss: 0.0739, val_loss: 0.2311, val_acc: 0.9299, time: 81.8050
Epoch [67], train_loss: 0.0921, val_loss: 0.1690, val_acc: 0.9450, time: 79.0391
Epoch [68], train_loss: 0.0771, val_loss: 0.1708, val_acc: 0.9448, time: 78.8655
Epoch [69], train_loss: 0.0695, val_loss: 0.1567, val_acc: 0.9484, time: 78.6053
Epoch [70], train_loss: 0.0592, val_loss: 0.2473, val_acc: 0.9230, time: 78.6439
Epoch [71], train_loss: 0.0743, val_loss: 0.1673, val_acc: 0.9478, time: 78.2633
Epoch [72], train_loss: 0.0595, val_loss: 0.1774, val_acc: 0.9455, time: 78.7811
Epoch [73], train_loss: 0.0578, val_loss: 0.1585, val_acc: 0.9515, time: 79.9766
Epoch [74], train_loss: 0.0643, val_loss: 0.1660, val_acc: 0.9476, time: 79.8209
Epoch [75], train_loss: 0.0621, val_loss: 0.1844, val_acc: 0.9400, time: 78.7908
Epoch [76], train_loss: 0.0627, val_loss: 0.1546, val_acc: 0.9502, time: 78.4121
Epoch [77], train_loss: 0.0557, val_loss: 0.1721, val_acc: 0.9447, time: 79.6144
Epoch [78], train_loss: 0.0678, val_loss: 0.1727, val_acc: 0.9459, time: 83.3577
Epoch [79], train_loss: 0.0522, val_loss: 0.1605, val_acc: 0.9498, time: 78.5159
Epoch [80], train_loss: 0.0527, val_loss: 0.1903, val_acc: 0.9401, time: 79.9923
Epoch [81], train_loss: 0.0623, val_loss: 0.2553, val_acc: 0.9233, time: 78.9928
Epoch [82], train_loss: 0.0674, val_loss: 0.1769, val_acc: 0.9431, time: 79.3759
Epoch [83], train_loss: 0.0648, val_loss: 0.1482, val_acc: 0.9514, time: 78.4811
Epoch [84], train_loss: 0.0782, val_loss: 0.1574, val_acc: 0.9493, time: 78.2428
Epoch [85], train_loss: 0.0490, val_loss: 0.1521, val_acc: 0.9525, time: 77.4009
Epoch [86], train_loss: 0.0452, val_loss: 0.1731, val_acc: 0.9482, time: 78.5445
Epoch [87], train_loss: 0.0628, val_loss: 0.1555, val_acc: 0.9509, time: 77.3872
Epoch [88], train_loss: 0.0414, val_loss: 0.1614, val_acc: 0.9480, time: 78.0773
Epoch [89], train_loss: 0.0472, val_loss: 0.1554, val_acc: 0.9510, time: 77.0757
Epoch [90], train_loss: 0.0454, val_loss: 0.1609, val_acc: 0.9478, time: 77.3580
Epoch [91], train_loss: 0.0481, val_loss: 0.1646, val_acc: 0.9502, time: 78.0503
Epoch [92], train_loss: 0.0442, val_loss: 0.1938, val_acc: 0.9400, time: 77.4223
Epoch [93], train_loss: 0.0486, val_loss: 0.1461, val_acc: 0.9537, time: 77.7320
Epoch [94], train_loss: 0.0495, val_loss: 0.1653, val_acc: 0.9448, time: 78.0584
Epoch [95], train_loss: 0.0841, val_loss: 0.1717, val_acc: 0.9472, time: 87.6839
Epoch [96], train_loss: 0.0617, val_loss: 0.1548, val_acc: 0.9531, time: 82.5237
Epoch [97], train_loss: 0.0749, val_loss: 0.1343, val_acc: 0.9572, time: 77.1673
Epoch [98], train_loss: 0.0433, val_loss: 0.1530, val_acc: 0.9538, time: 79.0433
Epoch [99], train_loss: 0.0594, val_loss: 0.1549, val_acc: 0.9522, time: 77.1501
{'val_loss': 0.1605871468782425, 'val_acc': 0.9512945413589478}
