rebuilding saved_objs/Dataset/15.pkl

Now Training 15 with num_epochs=100, alpha=0.0001, AdamNoAMS, weight_decay=0.001
Epoch [0], train_loss: 1.4949, val_loss: 1.0940, val_acc: 0.6168, time: 281.9923
Epoch [1], train_loss: 0.9066, val_loss: 0.8173, val_acc: 0.7086, time: 282.9634
Epoch [2], train_loss: 0.7205, val_loss: 0.7514, val_acc: 0.7389, time: 280.4483
Epoch [3], train_loss: 0.6184, val_loss: 0.7164, val_acc: 0.7577, time: 241.1958
Epoch [4], train_loss: 0.5380, val_loss: 0.6879, val_acc: 0.7701, time: 142.5308
Epoch [5], train_loss: 0.4747, val_loss: 0.5055, val_acc: 0.8248, time: 140.9574
Epoch [6], train_loss: 0.4230, val_loss: 0.4991, val_acc: 0.8285, time: 138.4383
Epoch [7], train_loss: 0.3845, val_loss: 0.4655, val_acc: 0.8428, time: 139.1487
Epoch [8], train_loss: 0.3499, val_loss: 0.4096, val_acc: 0.8598, time: 140.0603
Epoch [9], train_loss: 0.3232, val_loss: 0.3735, val_acc: 0.8738, time: 142.9751
Epoch [10], train_loss: 0.2997, val_loss: 0.3514, val_acc: 0.8799, time: 139.4888
Epoch [11], train_loss: 0.2828, val_loss: 0.3483, val_acc: 0.8840, time: 140.9209
Epoch [12], train_loss: 0.2647, val_loss: 0.3468, val_acc: 0.8797, time: 139.3666
Epoch [13], train_loss: 0.2496, val_loss: 0.3108, val_acc: 0.8938, time: 138.9785
Epoch [14], train_loss: 0.2333, val_loss: 0.3022, val_acc: 0.8962, time: 139.2831
Epoch [15], train_loss: 0.2250, val_loss: 0.2906, val_acc: 0.9042, time: 139.6343
Epoch [16], train_loss: 0.2155, val_loss: 0.3087, val_acc: 0.8948, time: 141.1703
Epoch [17], train_loss: 0.2029, val_loss: 0.2949, val_acc: 0.8995, time: 140.0628
Epoch [18], train_loss: 0.1932, val_loss: 0.2781, val_acc: 0.9077, time: 143.5553
Epoch [19], train_loss: 0.1870, val_loss: 0.2822, val_acc: 0.9073, time: 140.9738
Epoch [20], train_loss: 0.1780, val_loss: 0.2692, val_acc: 0.9100, time: 140.5574
Epoch [21], train_loss: 0.1697, val_loss: 0.2688, val_acc: 0.9082, time: 140.8765
Epoch [22], train_loss: 0.1629, val_loss: 0.2486, val_acc: 0.9169, time: 140.9585
Epoch [23], train_loss: 0.1578, val_loss: 0.2256, val_acc: 0.9221, time: 142.6849
Epoch [24], train_loss: 0.1519, val_loss: 0.2338, val_acc: 0.9230, time: 143.6619
Epoch [25], train_loss: 0.1461, val_loss: 0.2334, val_acc: 0.9204, time: 139.8314
Epoch [26], train_loss: 0.1434, val_loss: 0.2427, val_acc: 0.9196, time: 140.7819
Epoch [27], train_loss: 0.1354, val_loss: 0.2612, val_acc: 0.9138, time: 140.3991
Epoch [28], train_loss: 0.1297, val_loss: 0.2701, val_acc: 0.9106, time: 140.9153
Epoch [29], train_loss: 0.1278, val_loss: 0.3060, val_acc: 0.8969, time: 140.4752
Epoch [30], train_loss: 0.1262, val_loss: 0.2856, val_acc: 0.9092, time: 140.2039
Epoch [31], train_loss: 0.1187, val_loss: 0.2347, val_acc: 0.9215, time: 139.2146
